Problem,Var_num,Cls_num,Result,TResult,Time
3_3_7,7,18,s,,0.000810
3_3_8,8,24,s,,0.000930
3_3_9,9,32,u,,0.001012
3_3_10,10,40,u,,0.000848
3_4_16,16,91,s,,0.000920
3_4_17,17,104,s,,0.010698
3_4_18,18,117,u,,0.012475
3_4_19,19,132,u,,0.001186
3_5_20,20,130,s,,0.004270
3_5_21,21,145,s,,0.001021
3_5_22,22,160,u,,0.001527
3_5_23,23,176,u,,0.001676
3_6_30,30,285,s,,0.001125
3_6_31,31,306,s,,0.001179
3_6_32,32,327,u,,0.005557
3_6_33,33,349,u,,0.010776
3_7_44,44,602,s,,0.004949
3_7_45,45,631,s,,0.023596
3_7_46,46,660,u,,0.056469
3_7_47,47,690,u,,0.041779
3_8_56,56,952,s,,0.012194
3_8_57,57,988,s,,0.030171
3_8_58,58,1024,u,,0.122293
3_8_59,59,1061,u,,0.082611
3_9_75,75,1684,s,,0.003370
3_9_76,76,1730,s,,0.110020
3_9_77,77,1777,u,,0.268197
3_9_78,78,1824,u,,0.285502
3_10_95,95,2664,s,,0.004471
3_10_96,96,2721,s,,0.004435
3_10_97,97,2779,u,,1.292773
3_10_98,98,2837,u,,1.489280
3_11_112,112,3652,s,,0.149488
3_11_113,113,3719,s,,0.455861
3_11_114,114,3786,u,,6.986654
3_11_115,115,3854,u,,8.259512
3_12_133,133,5094,s,,20.022391
3_12_134,134,5172,s,,62.927013
3_12_135,135,5251,u,,62.257964
3_12_136,136,5330,u,,65.180546
3_13_158,158,7124,s,,20.235109
3_13_159,159,7216,s,,43.496736
3_13_160,160,7308,u,,816.134277
3_13_161,161,7401,u,,700.887476
3_14_184,184,9583,s,,8.965622
3_14_185,185,9689,s,,20.495072
3_14_186,186,9795,x,u,4998.845267
3_14_187,187,9902,x,u,4998.656697
3_15_216,216,13116,s,,2728.142851
3_15_217,217,13239,x,s,4997.830675
3_15_218,218,13362,x,u,4997.239834
3_15_219,219,13486,x,u,4998.847299
3_16_236,236,15546,x,s,4998.175775
3_16_237,237,15679,s,,1168.975194
3_16_238,238,15812,x,u,4997.103304
3_16_239,239,15946,x,u,4997.894883
3_17_277,277,21305,s,,437.616783
3_17_278,278,21460,x,s,4998.482529
3_17_279,279,21616,x,u,4998.950488
3_17_280,280,21772,x,u,4998.238631
3_18_310,310,26543,x,s,4998.830221
3_18_311,311,26716,x,s,4998.348902
3_18_312,312,26889,x,u,4997.973589
3_18_313,313,27063,x,u,4997.157341
3_19_347,347,33102,s,,4703.219568
3_19_348,348,33294,s,,4272.488304
3_19_349,349,33487,x,u,4997.370652
3_19_350,350,33680,x,u,4998.164999
4_3_16,16,91,s,,0.000896
4_3_17,17,104,s,,0.000916
4_3_18,18,117,u,,0.000946
4_3_19,19,132,u,,0.001003
4_4_33,33,330,s,,0.001124
4_4_34,34,352,s,,0.001613
4_4_35,35,374,u,,0.003520
4_4_36,36,396,u,,0.003783
4_5_53,53,767,s,,0.027428
4_5_54,54,797,s,,0.039323
4_5_55,55,828,u,,0.081037
4_5_56,56,859,u,,0.130532
4_6_71,71,1274,s,,0.388394
4_6_72,72,1311,s,,0.323915
4_6_73,73,1349,u,,2.887736
4_6_74,74,1387,u,,2.841910
4_7_107,107,2756,s,,34.398627
4_7_108,108,2808,s,,14.707599
4_7_109,109,2862,u,,551.021985
4_7_110,110,2916,u,,576.766383
4_8_144,144,4794,s,,2451.286280
4_8_145,145,4862,x,s,4997.592732
4_8_146,146,4930,x,u,4998.572962
4_8_147,147,4998,x,u,4998.693927
4_9_307,307,21293,x,s,4997.827669
4_9_308,308,21433,x,s,4996.384663
4_9_309,309,21573,x,u,4997.346228
4_9_310,310,21714,x,u,4997.001551
5_3_20,20,130,s,,0.000957
5_3_21,21,145,s,,0.000919
5_3_22,22,160,u,,0.001388
5_3_23,23,176,u,,0.005830
5_4_53,53,767,s,,0.003137
5_4_54,54,797,s,,0.001553
5_4_55,55,828,u,,0.093693
5_4_56,56,859,u,,0.106916
5_5_176,176,7568,s,,0.020395
5_5_177,177,7656,s,,0.363319
5_5_178,178,7744,u,,28.183189
5_5_179,179,7832,u,,35.067311
5_6_204,204,9160,s,,4117.237059
5_6_205,205,9251,x,s,4998.343346
5_6_206,206,9343,x,u,4998.215899
5_6_207,207,9435,x,u,4997.785454
5_7_258,258,13610,x,s,4997.605491
5_7_259,259,13717,x,s,4997.496668
5_7_260,260,13824,x,u,4998.067888
5_7_261,261,13932,x,u,4997.749797
6_3_30,30,285,s,,0.003047
6_3_31,31,306,s,,0.007722
6_3_32,32,327,u,,0.003204
6_3_33,33,349,u,,0.004023
6_4_71,71,1274,s,,0.297109
6_4_72,72,1311,s,,1.344111
6_4_73,73,1349,u,,3.125108
6_4_74,74,1387,u,,3.141637
6_5_204,204,9160,s,,1476.652686
6_5_205,205,9251,s,,478.485368
6_5_206,206,9343,x,u,4997.426912
6_5_207,207,9435,x,u,4995.829283
6_6_1130,1130,254250,x,s,4994.598666
6_6_1131,1131,254702,x,s,4993.401292
6_6_1132,1132,255154,x,u,4991.896404
